Customer_ID,Trans_monnth,Trans_year,Year,Quarter,Month,Day,Transaction_ID
1,March,2024,2024,Qtr 1,March,16,76
3,February,2024,2024,Qtr 1,February,6,37
3,March,2024,2024,Qtr 1,March,6,66
4,February,2024,2024,Qtr 1,February,14,45
4,January,2024,2024,Qtr 1,January,4,4
4,January,2024,2024,Qtr 1,January,5,5
5,February,2024,2024,Qtr 1,February,2,33
6,April,2024,2024,Qtr 2,April,1,92
6,February,2024,2024,Qtr 1,February,23,54
8,January,2024,2024,Qtr 1,January,15,15
9,April,2024,2024,Qtr 2,April,8,99
9,February,2024,2024,Qtr 1,February,4,35
9,February,2024,2024,Qtr 1,February,12,43
9,March,2024,2024,Qtr 1,March,15,75
10,April,2024,2024,Qtr 2,April,3,94
10,February,2024,2024,Qtr 1,February,11,42
10,January,2024,2024,Qtr 1,January,27,27
11,January,2024,2024,Qtr 1,January,24,24
12,February,2024,2024,Qtr 1,February,16,47
12,March,2024,2024,Qtr 1,March,22,82
14,January,2024,2024,Qtr 1,January,1,1
14,March,2024,2024,Qtr 1,March,18,78
15,March,2024,2024,Qtr 1,March,8,68
15,March,2024,2024,Qtr 1,March,29,89
16,January,2024,2024,Qtr 1,January,14,14
16,January,2024,2024,Qtr 1,January,26,26
16,March,2024,2024,Qtr 1,March,4,64
16,March,2024,2024,Qtr 1,March,21,81
17,January,2024,2024,Qtr 1,January,9,9
17,January,2024,2024,Qtr 1,January,23,23
17,March,2024,2024,Qtr 1,March,12,72
19,February,2024,2024,Qtr 1,February,15,46
19,February,2024,2024,Qtr 1,February,28,59
19,January,2024,2024,Qtr 1,January,13,13
19,March,2024,2024,Qtr 1,March,31,91
20,February,2024,2024,Qtr 1,February,1,32
20,January,2024,2024,Qtr 1,January,29,29
20,March,2024,2024,Qtr 1,March,11,71
20,March,2024,2024,Qtr 1,March,30,90
21,January,2024,2024,Qtr 1,January,28,28
21,March,2024,2024,Qtr 1,March,25,85
22,April,2024,2024,Qtr 2,April,6,97
22,February,2024,2024,Qtr 1,February,29,60
22,January,2024,2024,Qtr 1,January,8,8
22,March,2024,2024,Qtr 1,March,9,69
22,March,2024,2024,Qtr 1,March,23,83
24,February,2024,2024,Qtr 1,February,20,51
24,January,2024,2024,Qtr 1,January,11,11
27,February,2024,2024,Qtr 1,February,7,38
27,February,2024,2024,Qtr 1,February,18,49
27,January,2024,2024,Qtr 1,January,2,2
27,January,2024,2024,Qtr 1,January,10,10
28,January,2024,2024,Qtr 1,January,3,3
28,March,2024,2024,Qtr 1,March,5,65
29,February,2024,2024,Qtr 1,February,10,41
29,January,2024,2024,Qtr 1,January,20,20
30,January,2024,2024,Qtr 1,January,16,16
32,April,2024,2024,Qtr 2,April,2,93
32,February,2024,2024,Qtr 1,February,22,53
34,February,2024,2024,Qtr 1,February,19,50
35,April,2024,2024,Qtr 2,April,9,100
35,January,2024,2024,Qtr 1,January,31,31
37,February,2024,2024,Qtr 1,February,24,55
37,February,2024,2024,Qtr 1,February,27,58
37,March,2024,2024,Qtr 1,March,20,80
38,February,2024,2024,Qtr 1,February,13,44
38,March,2024,2024,Qtr 1,March,13,73
40,February,2024,2024,Qtr 1,February,3,34
40,February,2024,2024,Qtr 1,February,21,52
40,February,2024,2024,Qtr 1,February,25,56
40,January,2024,2024,Qtr 1,January,12,12
40,March,2024,2024,Qtr 1,March,3,63
40,March,2024,2024,Qtr 1,March,19,79
41,April,2024,2024,Qtr 2,April,7,98
41,February,2024,2024,Qtr 1,February,8,39
41,February,2024,2024,Qtr 1,February,9,40
42,March,2024,2024,Qtr 1,March,1,61
43,January,2024,2024,Qtr 1,January,18,18
43,January,2024,2024,Qtr 1,January,21,21
44,March,2024,2024,Qtr 1,March,14,74
44,March,2024,2024,Qtr 1,March,27,87
45,January,2024,2024,Qtr 1,January,17,17
45,January,2024,2024,Qtr 1,January,22,22
45,March,2024,2024,Qtr 1,March,26,86
46,January,2024,2024,Qtr 1,January,7,7
46,March,2024,2024,Qtr 1,March,7,67
46,March,2024,2024,Qtr 1,March,24,84
47,April,2024,2024,Qtr 2,April,4,95
47,February,2024,2024,Qtr 1,February,5,36
47,January,2024,2024,Qtr 1,January,6,6
47,March,2024,2024,Qtr 1,March,2,62
47,March,2024,2024,Qtr 1,March,10,70
48,February,2024,2024,Qtr 1,February,17,48
48,January,2024,2024,Qtr 1,January,19,19
50,April,2024,2024,Qtr 2,April,5,96
50,February,2024,2024,Qtr 1,February,26,57
50,January,2024,2024,Qtr 1,January,25,25
50,January,2024,2024,Qtr 1,January,30,30
50,March,2024,2024,Qtr 1,March,17,77
50,March,2024,2024,Qtr 1,March,28,88
